traceId,spanId,parentSpanId,timestamp,srcService,srcRoute,dstService,dstRoute,latency_ms
trace00001,span00001,,2025-11-21T15:00:00.016000Z,api-gateway,/v1/profile,profile-service,/getProfile,18.2
trace00001,span00002,span00001,2025-11-21T15:00:00.034000Z,profile-service,/getProfile,user-service,/getUser,26.5
trace00001,span00003,span00002,2025-11-21T15:00:00.060000Z,user-service,/getUser,db-users,/queryUser,37.9
trace00001,span00004,span00001,2025-11-21T15:00:00.034000Z,profile-service,/getProfile,recommendation-service,/getUserRecommendations,52.5
trace00001,span00005,span00004,2025-11-21T15:00:00.086000Z,recommendation-service,/getUserRecommendations,db-recommendation,/queryRecs,41.7
trace00001,span00006,span00004,2025-11-21T15:00:00.086000Z,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,20.2
trace00002,span00007,,2025-11-21T15:00:00.196000Z,api-gateway,/v1/login,auth-service,/verify,19.6
trace00002,span00008,span00007,2025-11-21T15:00:00.216000Z,auth-service,/verify,cache-service,/checkToken,6.6
trace00002,span00009,span00007,2025-11-21T15:00:00.223000Z,auth-service,/verify,user-service,/getUser,9.9
trace00002,span00010,span00009,2025-11-21T15:00:00.233000Z,user-service,/getUser,db-users,/queryUser,48.8
trace00002,span00011,span00009,2025-11-21T15:00:00.233000Z,user-service,/getUser,db-logs,/insertAuthLog,36.2
trace00003,span00012,,2025-11-21T15:00:00.307000Z,api-gateway,/v1/orders,order-service,/createOrder,43.3
trace00003,span00013,span00012,2025-11-21T15:00:00.350000Z,order-service,/createOrder,cart-service,/getCart,10.0
trace00003,span00014,span00012,2025-11-21T15:00:00.350000Z,order-service,/createOrder,payment-service,/authorize,47.9
trace00003,span00015,span00012,2025-11-21T15:00:00.350000Z,order-service,/createOrder,inventory-service,/reserve,51.8
trace00003,span00016,span00013,2025-11-21T15:00:00.360000Z,cart-service,/getCart,db-orders,/insertLineItems,21.2
trace00003,span00017,span00013,2025-11-21T15:00:00.360000Z,cart-service,/getCart,db-cache,/updateCartCache,10.0
trace00003,span00018,span00014,2025-11-21T15:00:00.398000Z,payment-service,/authorize,db-payments,/insertPayment,34.3
trace00003,span00019,span00014,2025-11-21T15:00:00.398000Z,payment-service,/authorize,db-logs,/insertPaymentLog,27.7
